Combination,Mean Error,Mean Squared Error
SJR H index Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7811149288828444,1.823244213243022
SJR H index Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) ,0.7865367664065052,1.843948269939087
SJR H index Total Docs(2017) Total cites(3yrs) Cites(2 yrs) Ref ,0.4346188219829871,1.051019792238879
SJR H index Total Docs(2017) Total cites(3yrs) Cites(2 yrs) ,0.4406120856879478,1.076100936009053
SJR H index Total Docs(2017) Total cites(3yrs) Ref ,0.7867874137624236,1.7603655416568633
SJR H index Total Docs(2017) Total cites(3yrs) ,0.7916155843947181,1.781253883149422
SJR H index Total Docs(2017) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4335265405722268,1.0582415272930523
SJR H index Total Docs(2017) Citable Docs(3 yrs) Cites(2 yrs) ,0.44042106238965656,1.0826846757598678
SJR H index Total Docs(2017) Citable Docs(3 yrs) Ref ,0.8226127566962163,1.7629424809047003
SJR H index Total Docs(2017) Citable Docs(3 yrs) ,0.8288455948896201,1.784647469315781
SJR H index Total Docs(2017) Cites(2 yrs) Ref ,0.43403684441585483,1.0537593794457527
SJR H index Total Docs(2017) Cites(2 yrs) ,0.44122920531144155,1.0794405087230319
SJR H index Total Docs(2017) Ref ,0.8118516544276191,1.7502863851419552
SJR H index Total Docs(2017) ,0.8172366404969238,1.7716882894417545
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.42933868160770383,1.0379605626936266
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.43300554281832454,1.0541186053384544
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7697843566073678,1.801659212563093
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.7764388287287642,1.8131513093656255
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.43340949916495974,1.0577999458941343
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.4388617673827881,1.084438411015922
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) Ref ,0.7827347878473302,1.8349039177226447
SJR H index Total Docs(3yrs) Total Refs. Total cites(3yrs) ,0.786472217559176,1.8416953376857617
SJR H index Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4285290048831279,1.0463102831148896
SJR H index Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.43309530825218306,1.068872633822045
SJR H index Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Ref ,0.8096278445526283,1.695060029260215
SJR H index Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) ,0.8161886486109053,1.708151619078215
SJR H index Total Docs(3yrs) Total Refs. Cites(2 yrs) Ref ,0.4329975406503344,1.0602739333250115
SJR H index Total Docs(3yrs) Total Refs. Cites(2 yrs) ,0.4384468239610695,1.0905600506575523
SJR H index Total Docs(3yrs) Total Refs. Ref ,0.8247365294572493,1.7443929506240143
SJR H index Total Docs(3yrs) Total Refs. ,0.8252024751590196,1.7459684855122906
SJR H index Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.42936202733748013,1.03931717037827
SJR H index Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.4333924355691008,1.0524040774521781
SJR H index Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7703900657880105,1.8287696061898222
SJR H index Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) ,0.7781589939465378,1.8581155308562614
SJR H index Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) Ref ,0.4334169965097952,1.05845161368463
SJR H index Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) ,0.4396709676277997,1.0833512008837405
SJR H index Total Docs(3yrs) Total cites(3yrs) Ref ,0.7811915582902204,1.8492703250382065
SJR H index Total Docs(3yrs) Total cites(3yrs) ,0.7862331500034508,1.864004398126163
SJR H index Total Docs(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.42847440440397844,1.0488230017260838
SJR H index Total Docs(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.4333812802131807,1.0671473031747356
SJR H index Total Docs(3yrs) Citable Docs(3 yrs) Ref ,0.8118956275979986,1.7378088012763435
SJR H index Total Docs(3yrs) Citable Docs(3 yrs) ,0.8193705198502208,1.7706600510937338
SJR H index Total Docs(3yrs) Cites(2 yrs) Ref ,0.4329832115381587,1.0615167869460276
SJR H index Total Docs(3yrs) Cites(2 yrs) ,0.43926800003725835,1.0885360663672083
SJR H index Total Docs(3yrs) Ref ,0.8213615233460557,1.7767293664695092
SJR H index Total Docs(3yrs) ,0.8251016239979122,1.7936935532165734
SJR H index Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4340710003769991,1.0567706688182448
SJR H index Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.4399647088955966,1.0834447913857805
SJR H index Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7805631181057876,1.830608621391689
SJR H index Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.7840768110904807,1.8366590184727376
SJR H index Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.4349857222258951,1.0515348105150248
SJR H index Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.441585297258534,1.0755163482265317
SJR H index Total Refs. Total cites(3yrs) Ref ,0.7865157744661724,1.818519350663374
SJR H index Total Refs. Total cites(3yrs) ,0.7928266183572393,1.8467035312280136
SJR H index Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.433580726515227,1.0607429720223265
SJR H index Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.43960516541241584,1.0922975033080933
SJR H index Total Refs. Citable Docs(3 yrs) Ref ,0.825706448954492,1.7385706326354253
SJR H index Total Refs. Citable Docs(3 yrs) ,0.8255533936870956,1.738049474057698
SJR H index Total Refs. Cites(2 yrs) Ref ,0.43428039530109247,1.0555297828042072
SJR H index Total Refs. Cites(2 yrs) ,0.4439598997286182,1.0861325270484514
SJR H index Total Refs. Ref ,0.8158959871972538,1.7536157019471423
SJR H index Total Refs. ,0.8187111724138201,1.7668570376657
SJR H index Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.434171662805114,1.058059217755152
SJR H index Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.440502839385252,1.0817896854039604
SJR H index Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7782606328298132,1.8589980126639474
SJR H index Total cites(3yrs) Citable Docs(3 yrs) ,0.7838412703507123,1.8754477031178305
SJR H index Total cites(3yrs) Cites(2 yrs) Ref ,0.43605573205982523,1.0506396317056739
SJR H index Total cites(3yrs) Cites(2 yrs) ,0.441527167009361,1.076272801757611
SJR H index Total cites(3yrs) Ref ,0.7893516701107779,1.7380715378301659
SJR H index Total cites(3yrs) ,0.7948448883101774,1.761263661452413
SJR H index Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43369239002833915,1.0628688444637089
SJR H index Citable Docs(3 yrs) Cites(2 yrs) ,0.440122100773447,1.0901546041503356
SJR H index Citable Docs(3 yrs) Ref ,0.8229633318180493,1.780660201633548
SJR H index Citable Docs(3 yrs) ,0.8265908556174109,1.7970707618697737
SJR H index Cites(2 yrs) Ref ,0.43686208566345697,1.059036079279231
SJR H index Cites(2 yrs) ,0.4464217465881232,1.0881853207770469
SJR H index Ref ,0.8188933985922939,1.7709799869481557
SJR H index ,0.8225718536056157,1.7883407407152805
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43195142560141947,1.0317262906825284
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.43872186726777346,1.0424511907741363
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7881323025781509,1.7986269252288123
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.7974162328705875,1.8086585877334416
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.43568978796869967,1.050581776989721
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.4441897367079052,1.0690431649464933
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) Ref ,0.7993459709631983,1.8287261599856397
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Total cites(3yrs) ,0.8044075734731699,1.8519534237490227
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4313208330402265,1.0364622843725444
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.43777136054236304,1.0531109116929176
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Ref ,0.8584689446387698,1.6470968358511637
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) ,0.8671457610896632,1.6972251543042065
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Cites(2 yrs) Ref ,0.4358354552005494,1.0498457922658626
